('WISE/WISE.W2', 'Value', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076')
('WISE/WISE.W3', 'Value', 'Jy', '115608.0', '55055.705185818', '0.06394113950685076')
('WISE/WISE.W4', 'Value', 'Jy', '220883.0', '41016.829183507', '0.06394113950685076')
('WISE/WISE.W1', 'Value', 'Jy', '33526.0', '6626.4186524258', '0.06394113950685076.1')
('WISE/WISE.W2', 'Value', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076.1')
('WISE/WISE.W1', 'Value', 'Jy', '33526.0', '6626.4186524258', '0.06394113950685076.2')
('WISE/WISE.W2', 'Value', 'Jy', '46028.0', '10422.660627836', '0.06394113950685076.2')
('AKARI/IRC.S9W', 'Value', 'Jy', '82283.5545614', '41027.1126505', '0.06394113950685076')
('AKARI/IRC.L18W', 'Value', 'Jy', '176094.903177', '99690.0709059', '0.06394113950685076')
('AKARI/FIS.N60', 'Value', 'Jy', '629506.72195', '183383.198697', '0.06394113950685076')
('AKARI/FIS.WIDE-S', 'Value', 'Jy', '769035.210222', '330799.82027', '0.06394113950685076')
('AKARI/FIS.WIDE-L', 'Value', 'Jy', '1408561.11446', '433115.724962', '0.06394113950685076')
('AKARI/FIS.N160', 'Value', 'Jy', '1594671.63075', '331394.973689', '0.06394113950685076')
('MSX/MSX.B1', 'Value', 'Jy', '42921.772141732', '1081.6794870895', '0.06394113950685076')
('MSX/MSX.B2', 'Value', 'Jy', '43492.632512344', '1833.2617109514', '0.06394113950685076')
('MSX/MSX.A', 'Value', 'Jy', '79514.6536506', '33661.1774561', '0.06394113950685076')
('IRAS/IRAS.12mu', 'Value', 'Jy', '101464.582668', '60670.4190222', '0.06394113950685076')
('IRAS/IRAS.25mu', 'Value', 'Jy', '217265.488922', '100173.842963', '0.06394113950685076')
('IRAS/IRAS.60mu', 'Value', 'Jy', '519887.310614', '305160.0', '0.06394113950685076')
('IRAS/IRAS.100mu', 'Value', 'Jy', '952971.028738', '332639.843556', '0.06394113950685076')
('COBE/DIRBE.1p25m', 'Value', 'Jy', '12554.307941342', '2937.5610487595', '0.2549413402277416')
('COBE/DIRBE.2p2m', 'Value', 'Jy', '22102.032910165', '3425.7540850379', '0.10889858649205161')
('COBE/DIRBE.3p5m', 'Value', 'Jy', '34914.169216259', '8242.0591528083', '0.06394113950685076')
('COBE/DIRBE.4p9m', 'Value', 'Jy', '48668.693780633', '6632.3299446285', '0.06394113950685076')
('COBE/DIRBE.12m', 'Value', 'Jy', '113395.11060055', '52660.656172719', '0.06394113950685076')
('COBE/DIRBE.25m', 'Value', 'Jy', '200152.52283159', '65659.701277327', '0.06394113950685076')
('COBE/DIRBE.60m', 'Value', 'Jy', '529628.06382814', '238908.85186561', '0.06394113950685076')
('COBE/DIRBE.100m', 'Value', 'Jy', '941198.75247331', '291160.42076984', '0.06394113950685076')
('COBE/DIRBE.140m', 'Value', 'Jy', '1419998.3341933', '414260.47064915', '0.06394113950685076')
('COBE/DIRBE.240m', 'Value', 'Jy', '2353098.3568597', '977552.69589026', '0.06394113950685076')
('JCMT/SCUBA2.450GHz', 'Value', 'Jy', '4482776.6256749', '337928.16511745', '0.06394113950685076')
('JCMT/SCUBA2.850GHz', 'Value', 'Jy', '8579140.0588237', '905255.95381984', '0.06394113950685076')
('Herschel/PACS.blue', 'Value', 'Jy', '689247.38661412', '214148.87500301', '0.06394113950685076')
('Herschel/PACS.green', 'Value', 'Jy', '979036.08312218', '312859.9705268', '0.06394113950685076')
('Herschel/PACS.red', 'Value', 'Jy', '1539451.2965065', '697595.33521814', '0.06394113950685076')
('HST/WFPC2-WF.F170W', 'Value', 'Jy', '1831.4791657082', '585.57987585351', '2.50349314952006')
('HST/WFPC2-WF.F255W', 'Value', 'Jy', '2608.9428223195', '460.83320684541', '2.1152208274464064')
('HST/WFPC2-WF.F336W', 'Value', 'Jy', '3349.6407980105', '452.59952752703', '1.6357731437521976')
('HST/WFPC2-WF.F439W', 'Value', 'Jy', '4310.1091734746', '633.98124289342', '1.3351620359391723')
('HST/WFPC2-WF.F502N', 'Value', 'Jy', '5012.3716297089', '35.795086287497', '1.1177506288046075')
('HST/WFPC2-WF.F555W', 'Value', 'Jy', '5371.3437794063', '1427.6047460473', '1.011437676811196')
('HST/WFPC2-WF.F814W', 'Value', 'Jy', '7929.9962637198', '1641.8903006414', '0.5611584892364064')
('SLOAN/SDSS.g', 'Value', 'Jy', '4671.7822137652', '1064.6831251069', '1.227166526492581.2')
('SLOAN/SDSS.i', 'Value', 'Jy', '7457.889035897', '1102.565344818', '0.6212377101268327.2')
('GAIA/GAIA3.Gbp', 'Error', 'Jy', '5035.7502754443', '2157.5049836097', '1.1103772593006023')
('GAIA/GAIA3.G', 'Error', 'Jy', '5822.3887136979', '4052.9683037357', '0.9038786989268854')
('GAIA/GAIA3.Grp', 'Error', 'Jy', '7619.9599926215', '2924.4362576966', '0.5996680415563764')
('Hipparcos/Hipparcos.Hp_MvB', 'Error', 'Jy', '5586.0', '2405.6922033101', '0.9569406937310104')
('TYCHO/TYCHO.B_MvB', 'Error', 'Jy', '4220.0', '741.38613610869', '1.3607253583140135')
('TYCHO/TYCHO.V_MvB', 'Error', 'Jy', '5350.0', '1133.5568319306', '1.0172628209379844')
('PAN-STARRS/PS1.g', 'Error', 'Jy', '4810.883141308', '1053.0828083655', '1.1825420554106203')
('PAN-STARRS/PS1.r', 'Error', 'Jy', '6156.3564291844', '1252.4103554631', '0.8358434232959162')
('PAN-STARRS/PS1.i', 'Error', 'Jy', '7503.6764467665', '1206.6319680108', '0.6150397996074124')
('PAN-STARRS/PS1.z', 'Error', 'Jy', '8668.5619290591', '997.71027145765', '0.48236579717406636')
('PAN-STARRS/PS1.y', 'Error', 'Jy', '9613.4544956085', '638.99310394377', '0.4032371521403791')
('SLOAN/SDSS.u', 'Error', 'Jy', '3608.0403153219', '540.97112586776', '1.5436342580731015')
